nome,desconto_percentual,preco_em_reais,menor_preco_historico,avaliacao_percentual,data_fim,data_inicio,data_lancamento,safra
Plunder Panic,50.0,18.99,0.0,78.33,2023-07-13 14:00:00,2023-06-29 14:20:03,2022-09-15 21:00:00,202409
Initial Drift Online,80.0,2.17,1.08,73.35,2023-07-13 14:00:00,2023-06-29 14:20:03,2023-03-29 21:00:00,202409
Pascal's Wager: Definitive Edition,50.0,18.99,,66.91,2023-07-13 14:00:00,2023-06-29 14:20:03,2021-03-10 21:00:00,202409
Cozy Grove,60.0,11.59,,87.36,2023-07-13 14:00:00,2023-06-29 14:20:07,2021-04-06 21:00:00,202409
Lost in Random™,80.0,29.8,,86.5,2023-07-13 14:00:00,2023-06-29 14:20:07,2021-09-09 21:00:00,202409
WRC 10 FIA World Rally Championship,65.0,38.49,,68.52,2023-07-13 14:00:00,2023-06-29 14:20:07,2021-09-01 21:00:00,202409
Road 96 🛣️,65.0,17.48,,89.27,2023-07-13 14:00:00,2023-06-29 14:20:06,2021-08-15 21:00:00,202409
Age of Empires IV: Anniversary Edition,50.0,49.99,,85.09,2023-07-13 14:00:00,2023-06-29 14:20:07,2021-10-27 21:00:00,202409
I Am Fish,70.0,11.39,,71.12,2023-07-13 14:00:00,2023-06-29 14:20:08,2021-09-15 21:00:00,202409
Ghostwire: Tokyo,60.0,83.6,,79.28,2023-07-13 14:00:00,2023-06-29 14:20:08,2022-03-23 21:00:00,202409
GunSoul Girl,60.0,2.79,2.2,71.33,2023-07-13 14:00:00,2023-06-29 14:20:11,2021-02-24 21:00:00,202409
Soulestination,60.0,4.19,3.24,85.26,2023-07-13 14:00:00,2023-06-29 14:20:11,2021-01-04 21:00:00,202409
Lawn Mowing Simulator,66.0,21.75,,70.22,2023-07-13 14:00:00,2023-06-29 14:31:17,2021-08-09 21:00:00,202409
Hoa,60.0,15.59,,86.16,2023-07-13 14:00:00,2023-06-29 14:31:17,2021-08-23 21:00:00,202409
Intravenous,60.0,9.99,,87.36,2023-07-13 14:00:00,2023-06-29 14:31:13,2021-07-25 21:00:00,202409
Bloodshore,82.0,8.45,6.66,69.38,2023-07-13 14:00:00,2023-06-29 14:20:12,2021-11-02 21:00:00,202409
Demon Slayer -Kimetsu no Yaiba- The Hinokami Chronicles,50.0,149.99,,86.23,2023-07-13 14:00:00,2023-06-29 14:20:12,2021-10-14 21:00:00,202409
Recipe for Disaster,67.0,17.32,16.8,72.39,2023-07-13 14:00:00,2023-06-29 14:20:12,2022-08-04 21:00:00,202409
The Pathless,60.0,35.99,,86.28,2023-07-13 14:00:00,2023-06-29 14:20:12,2021-11-15 21:00:00,202409
秘密舞会,50.0,3.24,,90.65,2023-07-13 14:00:00,2023-06-29 14:20:15,2021-02-28 21:00:00,202409
Gotham Knights,70.0,89.7,,67.29,2023-07-13 14:00:00,2023-06-29 14:20:15,2022-10-20 21:00:00,202409
THE KING OF FIGHTERS XV,75.0,39.49,,79.51,2023-07-13 14:00:00,2023-06-29 14:20:22,2022-02-15 21:00:00,202409
From Space,66.0,13.59,,67.5,2023-07-13 14:00:00,2023-06-29 14:20:17,2022-11-02 21:00:00,202409
Mosaique Neko Waifus 4,50.0,2.24,1.79,91.77,2023-07-13 14:00:00,2023-06-29 14:20:17,2021-02-11 21:00:00,202409
Find Yourself,66.0,4.92,2.89,81.84,2023-07-13 14:00:00,2023-06-29 14:20:17,2021-02-20 21:00:00,202409
Waifu Secret,75.0,1.12,,70.59,2023-07-13 14:00:00,2023-06-29 14:20:17,2021-02-04 21:00:00,202409
The Ramp,50.0,6.19,3.09,88.85,2023-07-13 14:00:00,2023-06-29 14:31:15,2021-08-02 21:00:00,202409
Machinika Museum,50.0,9.99,,85.88,2023-07-13 14:00:00,2023-06-29 14:31:15,2021-03-22 21:00:00,202409
Doctor Who: The Lonely Assassins,66.0,4.21,,83.73,2023-07-13 14:00:00,2023-06-29 14:31:15,2021-03-17 21:00:00,202409
Enter The Backrooms,50.0,16.49,4.34,83.43,2023-07-13 14:00:00,2023-06-29 14:20:19,2021-02-11 21:00:00,202409
Last Call BBS,50.0,29.99,25.45,89.53,2023-07-13 14:00:00,2023-06-29 14:20:19,2022-08-02 21:00:00,202409
Erica,50.0,12.44,4.97,75.89,2023-07-13 14:00:00,2023-07-03 12:10:03,2021-05-24 21:00:00,202409
LOLLIPOP!,60.0,4.35,3.26,74.08,2023-07-13 14:00:00,2023-06-29 14:20:19,2021-05-30 21:00:00,202409
Aeterna Noctis,60.0,23.19,,77.57,2023-07-13 14:00:00,2023-06-29 14:31:14,2021-12-13 21:00:00,202409
Re: LieF ~ Shin'ainaru Anata e~,50.0,32.99,,89.41,2023-07-13 14:00:00,2023-06-29 14:31:14,2021-02-25 21:00:00,202409
Koi Farm,60.0,2.59,,89.22,2023-07-13 14:00:00,2023-06-29 14:31:14,2021-02-25 21:00:00,202409
Orcs Must Die! 3,60.0,35.59,19.13,82.71,2023-07-13 14:00:00,2023-06-29 14:20:22,2021-07-22 21:00:00,202409
Livestream: Escape from Hotel Izanami,50.0,18.99,,76.59,2023-07-13 14:00:00,2023-06-29 14:20:22,2021-06-09 21:00:00,202409
Tavern Master,50.0,14.49,,89.42,2023-07-13 14:00:00,2023-06-29 14:31:16,2021-11-15 21:00:00,202409
Fear Surrounds,50.0,8.29,4.97,84.49,2023-07-13 14:00:00,2023-06-29 14:31:16,2021-10-18 21:00:00,202409
Suicide Countdown: 7 Days,50.0,3.49,3.24,79.67,2023-07-13 14:00:00,2023-06-29 14:31:16,2021-02-11 21:00:00,202409
Симулятор Прыгания по Гаражам,65.0,0.8,,73.87,2023-07-13 14:00:00,2023-06-29 14:31:16,2022-12-22 21:00:00,202409
Need for Drive - Open World Multiplayer Racing,90.0,0.61,,61.37,2023-07-13 14:00:00,2023-06-29 14:31:16,2021-02-16 21:00:00,202409
BLACKTAIL,50.0,49.99,,80.12,2023-07-13 14:00:00,2023-06-29 14:31:16,2022-12-14 21:00:00,202409
Sex and the Furry Titty,60.0,12.2,4.95,85.59,2023-07-13 14:00:00,2023-06-29 14:31:16,2021-06-02 21:00:00,202409
Patron,66.0,16.32,12.91,72.04,2023-07-13 14:00:00,2023-06-29 14:20:28,2021-08-09 21:00:00,202409
Bird,50.0,1.14,,78.99,2023-07-13 14:00:00,2023-06-29 14:20:27,2021-02-16 21:00:00,202409
Sword and Fairy 7,50.0,49.49,,70.9,2023-07-13 14:00:00,2023-06-29 14:20:27,2021-10-20 21:00:00,202409
The Callisto Protocol™,50.0,124.5,,61.12,2023-07-13 14:00:00,2023-06-29 14:20:27,2022-11-30 21:00:00,202409
LEGO® Builder's Journey,66.0,20.39,12.91,79.59,2023-07-13 14:00:00,2023-06-29 14:20:27,2021-06-21 21:00:00,202409
Fallen girl - Black rose and the fire of desire,65.0,10.14,,69.28,2023-07-13 14:00:00,2023-06-29 14:20:27,2021-05-27 21:00:00,202409
"Peace, Death! 2",70.0,2.99,,89.85,2023-07-13 14:00:00,2023-06-29 14:20:27,2021-10-06 21:00:00,202409
Grand Theft Auto III – The Definitive Edition,50.0,149.95,,62.43,2023-07-13 14:00:00,2023-06-29 14:20:27,2023-01-18 21:00:00,202409
Grand Theft Auto: Vice City – The Definitive Edition,50.0,149.95,,70.06,2023-07-13 14:00:00,2023-06-29 14:20:27,2023-01-18 21:00:00,202409
Grand Theft Auto: San Andreas – The Definitive Edition,50.0,149.95,,66.23,2023-07-13 14:00:00,2023-06-29 14:20:27,2023-01-18 21:00:00,202409
Propnight,70.0,9.89,8.24,65.68,2023-07-13 14:00:00,2023-06-29 14:20:30,2021-11-30 21:00:00,202409
Haven Park,50.0,12.49,9.99,89.44,2023-07-13 14:00:00,2023-06-29 14:20:30,2021-08-04 21:00:00,202409
Vomitoreum,50.0,10.34,2.06,85.84,2023-07-13 14:00:00,2023-06-29 14:20:30,2021-07-29 21:00:00,202409
Aliens: Fireteam Elite,60.0,39.99,,78.33,2023-07-13 14:00:00,2023-06-29 14:20:30,2021-08-22 21:00:00,202409
Creepy Tale 2,50.0,10.34,6.2,82.76,2023-07-13 14:00:00,2023-06-29 14:20:30,2021-07-15 21:00:00,202409
Forza Horizon 5,50.0,124.5,,86.89,2023-07-13 14:00:00,2023-06-15 14:03:21,2021-11-07 21:00:00,202409
Toree 3D,50.0,1.14,,90.96,2023-07-13 14:00:00,2023-06-29 14:20:32,2021-04-08 21:00:00,202409
Chasing Tails ~A Promise in the Snow~,51.0,8.12,1.65,88.68,2023-07-13 14:00:00,2023-06-29 14:20:32,2021-08-12 21:00:00,202409
Predator: Hunting Grounds,75.0,37.37,,74.87,2023-07-13 14:00:00,2023-06-29 14:20:32,2021-04-28 21:00:00,202409
Golf Club Wasteland,70.0,9.89,4.13,77.39,2023-07-13 14:00:00,2023-06-29 14:20:35,2021-09-02 21:00:00,202409
ROUNDS,50.0,6.19,4.95,93.1,2023-07-13 14:00:00,2023-06-29 14:20:35,2021-03-31 21:00:00,202409
Fate Seeker II,50.0,61.3,49.04,88.07,2023-07-13 14:00:00,2023-06-29 14:20:35,2021-11-21 21:00:00,202409
Camping Simulator: The Squad,50.0,5.44,4.35,62.95,2023-07-13 14:00:00,2023-06-29 14:20:34,2021-05-27 21:00:00,202409
Internet Cafe Simulator 2,50.0,18.99,,71.57,2023-07-13 14:00:00,2023-06-29 14:20:34,2022-01-06 21:00:00,202409
Gamer Girls (18+),70.0,1.34,,70.81,2023-07-13 14:00:00,2023-06-29 14:20:34,2021-04-08 21:00:00,202409
Miss Furry,68.0,0.73,,81.69,2023-07-13 14:00:00,2023-06-29 14:20:38,2021-05-06 21:00:00,202409
Seed of the Dead: Sweet Home,50.0,44.49,31.89,79.55,2023-07-13 14:00:00,2023-06-29 14:20:38,2021-08-26 21:00:00,202409
Furry SexyTails,50.0,3.49,1.14,80.53,2023-07-13 14:00:00,2023-06-29 14:20:38,2021-05-06 21:00:00,202409
IRMÃO Grande & Brasileiro 2,70.0,5.99,,90.07,2023-07-13 14:00:00,2023-06-29 14:31:19,2021-10-13 21:00:00,202409
FAR: Changing Tides,60.0,15.99,13.99,89.22,2023-07-13 14:00:00,2023-06-29 14:31:19,2022-02-28 21:00:00,202409
Beholder 3,60.0,15.99,14.49,66.85,2023-07-13 14:00:00,2023-06-29 14:31:19,2022-03-02 21:00:00,202409
Summer with Mia Season 1,55.0,14.84,13.44,69.14,2023-07-13 14:00:00,2023-06-29 14:31:19,2021-03-24 21:00:00,202409
Agatha Christie - Hercule Poirot: The First Cases,50.0,26.49,17.15,73.32,2023-07-13 14:00:00,2023-06-29 14:20:38,2021-09-26 21:00:00,202409
Salt 2: Shores of Gold,50.0,18.99,,81.88,2023-07-13 14:00:00,2023-06-29 14:20:38,2022-09-19 21:00:00,202409
The Quarry,67.0,115.46,,76.21,2023-07-13 14:00:00,2023-06-29 14:20:38,2022-06-08 21:00:00,202409
Somewhere in the Shadow,50.0,3.24,,76.09,2023-07-13 14:00:00,2023-06-29 14:20:38,2021-08-22 21:00:00,202409
Shadow Tactics: Aiko's Choice,66.0,20.39,15.99,89.33,2023-07-13 14:00:00,2023-06-15 14:03:24,2021-12-05 21:00:00,202409
"Trolley Problem, Inc.",66.0,12.16,11.16,65.36,2023-07-13 14:00:00,2023-06-29 14:20:40,2022-04-20 21:00:00,202409
High On Life,50.0,54.99,,86.58,2023-07-13 14:00:00,2023-06-29 14:20:40,2022-12-12 21:00:00,202409
JUNKPUNK,50.0,15.49,,74.95,2023-07-13 14:00:00,2023-06-29 14:31:20,2021-11-11 21:00:00,202409
They Always Run,74.0,9.09,,78.03,2023-07-13 14:00:00,2023-06-29 14:31:20,2021-10-19 21:00:00,202409
100 hidden cats,70.0,0.68,,89.75,2023-07-13 14:00:00,2023-06-29 14:31:20,2021-04-14 21:00:00,202409
PGA TOUR 2K23,67.0,98.96,,66.4,2023-07-13 14:00:00,2023-06-29 14:31:20,2022-10-12 21:00:00,202409
Spirit of the Island,61.0,23.39,,68.29,2023-07-13 14:00:00,2023-06-29 14:31:22,2022-08-16 21:00:00,202409
Shanhe,50.0,7.24,,72.93,2023-07-13 14:00:00,2023-06-29 14:33:08,2021-09-01 21:00:00,202409
Persona 4 Arena Ultimax,50.0,79.95,,81.11,2023-07-13 14:00:00,2023-06-29 14:33:09,2022-03-15 21:00:00,202409
Conquest of Elysium 5,50.0,44.49,28.99,83.99,2023-07-13 14:00:00,2023-06-29 14:31:25,2021-08-16 21:00:00,202409
Lust Theory - Season 1,55.0,21.14,18.84,86.35,2023-07-13 14:00:00,2023-06-29 14:31:25,2022-03-17 21:00:00,202409
Hellslave,50.0,22.99,,75.61,2023-07-13 14:00:00,2023-06-29 14:31:26,2022-05-25 21:00:00,202409
Soundfall,65.0,20.29,,73.83,2023-07-13 14:00:00,2023-06-29 14:31:26,2022-05-10 21:00:00,202409
Summer of '58,70.0,5.57,3.71,86.9,2023-07-13 14:00:00,2023-06-29 14:31:26,2021-07-20 21:00:00,202409
Happy Guy,55.0,2.92,,74.73,2023-07-13 14:00:00,2023-06-29 14:31:26,2021-09-25 21:00:00,202409
"Warhammer 40,000: Chaos Gate - Daemonhunters",50.0,42.49,,76.64,2023-07-13 14:00:00,2023-06-29 14:31:31,2022-05-04 21:00:00,202409
The Centennial Case : A Shijima Story,50.0,114.95,,75.16,2023-07-13 14:00:00,2023-06-29 14:31:31,2022-05-11 21:00:00,202409
Wrestling Empire,50.0,18.99,,89.87,2023-07-13 14:00:00,2023-06-29 14:31:31,2021-07-01 21:00:00,202409
Pixel Cup Soccer - Ultimate Edition,50.0,34.99,20.69,83.31,2023-07-13 14:00:00,2023-06-29 14:31:31,2022-10-13 21:00:00,202409
DeadPoly,50.0,10.34,9.49,77.83,2023-07-13 14:00:00,2023-06-29 22:05:02,2022-01-11 21:00:00,202409
Decision: Red Daze,50.0,29.99,,67.99,2023-07-13 14:00:00,2023-06-29 14:31:31,2022-05-18 21:00:00,202409
Gamer Girls [18+]: eSports SEX,70.0,1.34,,67.34,2023-07-13 14:00:00,2023-06-29 14:21:11,2021-08-04 21:00:00,202409
坏小孩,50.0,3.24,,91.54,2023-07-13 14:00:00,2023-06-29 14:21:11,2021-07-13 21:00:00,202409
Deadly Broadcast,55.0,10.57,4.34,66.78,2023-07-13 14:00:00,2023-06-29 14:21:09,2023-02-01 21:00:00,202409
Spark the Electric Jester 3,50.0,12.24,,92.15,2023-07-13 14:00:00,2023-06-29 14:21:09,2022-08-13 21:00:00,202409
Bright Lights of Svetlov,50.0,5.44,,87.98,2023-07-13 14:00:00,2023-06-29 14:21:09,2021-09-13 21:00:00,202409
My Friend Peppa Pig,50.0,37.74,,82.75,2023-07-13 14:00:00,2023-06-29 14:21:09,2021-10-21 21:00:00,202409
Dreams of Desire: Definitive Edition,50.0,22.24,18.68,76.34,2023-07-13 14:00:00,2023-06-29 14:21:09,2021-10-19 21:00:00,202409
SurrounDead,50.0,19.24,,86.01,2023-07-13 14:00:00,2023-06-29 14:21:14,2022-06-23 21:00:00,202409
NEO: The World Ends with You,50.0,149.95,,87.66,2023-07-13 14:00:00,2023-06-29 14:21:14,2022-10-18 21:00:00,202409
Malum,50.0,5.44,,71.46,2023-07-13 14:00:00,2023-06-29 14:21:14,2021-09-01 21:00:00,202409
Hextech Mayhem: A League of Legends Story™,50.0,14.99,,78.12,2023-07-13 14:00:00,2023-06-29 14:21:14,2021-11-15 21:00:00,202409
Hero's Hour,50.0,17.49,,76.87,2023-07-13 14:00:00,2023-06-29 14:21:15,2022-02-28 21:00:00,202409
Combots,90.0,2.04,,84.12,2023-07-13 14:00:00,2023-06-29 14:21:15,2021-07-07 21:00:00,202409
Eiyuden Chronicle: Rising,50.0,29.99,11.99,82.61,2023-07-13 14:00:00,2023-06-22 14:03:20,2022-05-09 21:00:00,202409
Wolf of Stock Street,50.0,17.89,13.67,79.33,2023-07-13 14:00:00,2023-06-29 14:21:15,2021-10-27 21:00:00,202409
H-Isekai Loves,50.0,3.24,,81.15,2023-07-13 14:00:00,2023-06-29 16:05:02,2022-02-10 21:00:00,202409
Touhou Monster TD ~ 幻想乡妖怪塔防,65.0,12.94,,85.07,2023-07-13 14:00:00,2023-06-29 14:21:15,2021-09-30 21:00:00,202409
100 hidden cats 2,80.0,0.89,,87.53,2023-07-13 14:00:00,2023-06-29 14:21:20,2021-07-16 21:00:00,202409
Hitler Hates Anime,70.0,1.94,,85.81,2023-07-13 14:00:00,2023-06-29 14:21:18,2021-08-18 21:00:00,202409
Capcom Fighting Collection,50.0,84.95,,86.01,2023-07-13 14:00:00,2023-06-29 14:21:30,2022-06-22 21:00:00,202409
Cat Museum,50.0,7.95,6.53,86.23,2023-07-13 14:00:00,2023-06-29 14:21:30,2022-03-16 21:00:00,202409
Dōkyūsei: Bangin' Summer,50.0,18.99,,89.35,2023-07-13 14:00:00,2023-06-29 14:21:30,2022-04-13 21:00:00,202409
THE HOUSE OF THE DEAD: Remake,81.0,31.64,,68.81,2023-07-13 14:00:00,2023-06-29 14:33:10,2022-04-27 21:00:00,202409
Railroads Online,50.0,109.31,,79.25,2023-07-13 14:00:00,2023-06-29 14:31:42,2021-09-30 21:00:00,202409
Rune Factory 5,50.0,94.97,,76.74,2023-07-13 14:00:00,2023-06-29 14:21:31,2022-07-12 21:00:00,202409
The Stanley Parable: Ultra Deluxe,50.0,23.74,,92.0,2023-07-13 14:00:00,2023-06-29 14:21:31,2022-04-26 21:00:00,202409
Blade of Darkness,50.0,14.49,,88.93,2023-07-13 14:00:00,2023-06-29 14:21:36,2021-10-06 21:00:00,202409
MotoGP™22,85.0,16.49,,74.92,2023-07-13 14:00:00,2023-06-29 14:21:42,2022-04-20 21:00:00,202409
Tiny Tina's Assault on Dragon Keep: A Wonderlands One-shot Adventure,50.0,26.95,0.0,65.18,2023-07-13 14:00:00,2023-06-29 14:21:42,2021-11-08 21:00:00,202409
Crysis Remastered,55.0,26.09,,69.39,2023-07-13 14:00:00,2023-06-22 14:03:28,2021-09-16 21:00:00,202409
Toree 2,50.0,1.14,,91.62,2023-07-13 14:00:00,2023-06-29 14:21:46,2021-09-29 21:00:00,202409
No Straight Roads: Encore Edition,50.0,23.74,,86.37,2023-07-13 14:00:00,2023-06-29 14:31:43,2021-10-20 21:00:00,202409
The Entropy Centre,50.0,27.49,,88.26,2023-07-13 14:00:00,2023-06-29 14:21:45,2022-11-02 21:00:00,202409
Klonoa Phantasy Reverie Series,50.0,99.95,,91.47,2023-07-13 14:00:00,2023-06-29 14:21:45,2022-07-06 21:00:00,202409
Havsala: Into the Soul Palace,60.0,9.95,,89.27,2023-07-13 14:00:00,2023-06-29 14:21:44,2022-06-20 21:00:00,202409
Idol Hands,50.0,17.89,,82.94,2023-07-13 14:00:00,2023-06-29 14:21:49,2022-03-22 21:00:00,202409
Rocket Bot Royale,66.0,2.2,,81.23,2023-07-13 14:00:00,2023-06-29 14:21:49,2022-04-19 21:00:00,202409
Hacker Simulator,70.0,14.24,,72.87,2023-07-13 14:00:00,2023-06-29 14:21:52,2021-10-19 21:00:00,202409
BBQ Simulator: The Squad,60.0,4.19,2.59,80.37,2023-07-13 14:00:00,2023-06-29 14:21:52,2022-05-24 21:00:00,202409
Hatsune Miku: Project DIVA Mega Mix+,50.0,107.47,,89.88,2023-07-13 14:00:00,2023-06-29 14:21:55,2022-05-25 21:00:00,202409
Obama Boss Fight,70.0,1.94,,89.56,2023-07-13 14:00:00,2023-06-29 14:21:55,2021-11-23 21:00:00,202409
Pro Cycling Manager 2022,60.0,30.19,,78.91,2023-07-13 14:00:00,2023-06-29 14:21:55,2022-06-08 21:00:00,202409
Soul Hackers 2,60.0,119.98,,65.21,2023-07-13 14:00:00,2023-06-29 14:21:57,2022-08-24 21:00:00,202409
Hero of the Kingdom: The Lost Tales 2,70.0,4.34,,83.36,2023-07-13 14:00:00,2023-06-29 14:22:04,2021-11-18 21:00:00,202409
Redout 2,50.0,44.99,,76.17,2023-07-13 14:00:00,2023-06-29 14:22:03,2022-06-15 21:00:00,202409
HARVESTELLA,50.0,124.95,,75.57,2023-07-13 14:00:00,2023-06-29 14:22:10,2022-11-03 21:00:00,202409
Capybara Spa,50.0,8.29,,91.59,2023-07-13 14:00:00,2023-06-29 14:31:51,2022-03-13 21:00:00,202409
Chivalry 2,50.0,37.74,,80.29,2023-07-13 14:00:00,2023-06-29 14:31:51,2022-06-11 21:00:00,202409
Neptunia x SENRAN KAGURA: Ninja Wars,60.0,37.59,32.89,78.78,2023-07-13 14:00:00,2023-06-29 14:22:16,2022-05-10 21:00:00,202409
Brigandine The Legend of Runersia,50.0,37.74,,81.87,2023-07-13 14:00:00,2023-06-29 14:22:16,2022-05-09 21:00:00,202409
Need for Speed™ Unbound,70.0,89.7,,61.04,2023-07-13 14:00:00,2023-06-29 14:22:22,2022-11-30 21:00:00,202409
Game Dev Story,50.0,9.29,,84.54,2023-07-13 14:00:00,2023-06-29 14:22:22,2022-03-26 21:00:00,202409
SEX with HITLER,70.0,4.34,,77.65,2023-07-13 14:00:00,2023-06-29 14:22:22,2022-01-21 21:00:00,202409
TRIANGLE STRATEGY,50.0,149.5,,77.17,2023-07-13 14:00:00,2023-06-29 14:22:23,2022-10-12 21:00:00,202409
Mister Furry,71.0,0.66,,80.49,2023-07-13 14:00:00,2023-06-19 14:24:12,2022-12-15 21:00:00,202409
My Gaming Club,50.0,16.49,,82.24,2023-07-13 14:00:00,2023-06-29 14:31:52,2023-04-15 21:00:00,202409
Hooked on You: A Dead by Daylight Dating Sim™,50.0,12.49,,87.5,2023-07-13 14:00:00,2023-06-29 14:22:25,2022-08-02 21:00:00,202409
Solar Ash,50.0,44.99,,83.02,2023-07-13 14:00:00,2023-06-29 14:22:25,2022-12-07 21:00:00,202409
Five Nights At Floppa,50.0,3.24,,90.73,2023-07-13 14:00:00,2023-06-29 14:22:34,2022-02-16 21:00:00,202409
Little Noah: Scion of Paradise,50.0,14.49,,90.3,2023-07-13 14:00:00,2023-06-29 14:22:34,2022-06-27 21:00:00,202409
Knightfall: A Daring Journey,50.0,6.19,0.0,86.69,2023-07-13 14:00:00,2023-06-29 14:22:43,2022-03-31 21:00:00,202409
Polda 7,50.0,17.49,,87.58,2023-07-13 14:00:00,2023-06-29 14:22:42,2022-04-13 21:00:00,202409
NBA 2K23,84.0,47.98,,62.54,2023-07-13 14:00:00,2023-06-29 14:22:44,2022-09-07 21:00:00,202409
Plants vs. Zombies™ Garden Warfare 2: Deluxe Edition,80.0,17.8,14.24,86.76,2023-07-13 14:00:00,2023-06-29 14:22:44,2022-05-15 21:00:00,202409
The Backrooms: Lost Tape,60.0,10.39,7.79,81.5,2023-07-13 14:00:00,2023-06-29 14:22:43,2022-12-22 21:00:00,202409
Touch Some Grass,60.0,1.79,,89.22,2023-07-13 14:00:00,2023-06-29 14:31:47,2022-04-10 21:00:00,202409
Train Sim World® 3,70.0,22.64,,77.59,2023-07-13 14:00:00,2023-06-29 14:31:47,2022-09-05 21:00:00,202409
Sex Chess,55.0,11.92,,74.43,2023-07-13 14:00:00,2023-06-29 14:31:48,2022-11-09 21:00:00,202409
WRC Generations – The FIA WRC Official Game,60.0,30.19,,66.16,2023-07-13 14:00:00,2023-06-29 14:22:54,2022-11-02 21:00:00,202409
Kena: Bridge of Spirits,60.0,63.96,,89.69,2023-07-13 14:00:00,2023-06-29 14:22:54,2022-09-25 21:00:00,202409
Acquitted,50.0,8.47,,90.94,2023-07-13 14:00:00,2023-06-29 14:22:53,2022-05-01 21:00:00,202409
VALKYRIE ELYSIUM,50.0,124.95,,61.76,2023-07-13 14:00:00,2023-06-29 14:31:50,2022-11-10 21:00:00,202409
OCTOPATH TRAVELER II,53.0,202.91,,93.04,2023-07-13 14:00:00,2023-06-29 14:31:55,2023-02-23 21:00:00,202409
Kiwi Clicker - Juiced Up,50.0,5.44,,90.49,2023-07-13 14:00:00,2023-06-29 14:23:01,2022-07-28 21:00:00,202409
Call of Duty®: Black Ops Cold War,67.0,82.17,,74.25,2023-07-13 14:00:00,2023-06-29 14:22:58,2023-03-07 21:00:00,202409
Call of Duty®: Vanguard,50.0,124.5,,62.44,2023-07-13 14:00:00,2023-06-29 14:22:58,2023-03-07 21:00:00,202409
FURRY HITLER,55.0,6.52,,72.02,2023-07-13 14:00:00,2023-06-29 14:31:53,2022-05-27 21:00:00,202409
Call of Duty®: Modern Warfare®,67.0,82.17,,73.23,2023-07-13 14:00:00,2023-06-29 14:31:56,2023-03-07 21:00:00,202409
The Oregon Trail,50.0,49.99,,74.12,2023-07-13 14:00:00,2023-06-29 14:31:54,2022-11-13 21:00:00,202409
Once Again,66.0,4.92,4.34,87.16,2023-07-13 14:00:00,2023-06-29 14:23:15,2022-10-02 21:00:00,202409
Kanjozoku Game レーサー Online Street Racing & Drift,70.0,5.09,1.29,81.2,2023-07-13 14:00:00,2023-06-29 14:31:58,2022-07-15 21:00:00,202409
First Date : Late To Date,60.0,2.59,,78.21,2023-07-13 14:00:00,2023-06-29 14:31:59,2022-08-18 21:00:00,202409
Tiny Tactics,60.0,8.27,,79.62,2023-07-13 14:00:00,2023-06-29 14:32:00,2022-08-04 21:00:00,202409
Black Reliquary,70.0,36.21,,77.2,1969-12-31 21:00:00,2023-06-29 14:23:35,2023-03-23 21:00:00,202409
Fate Seeker: Journey,50.0,27.5,22.0,75.15,2023-07-13 14:00:00,2023-06-29 14:23:35,2022-12-10 21:00:00,202409
Hand Simulator: Rendezvous,50.0,3.49,2.09,81.98,2023-07-13 14:00:00,2023-06-29 14:23:48,2022-10-31 21:00:00,202409
Mosaique Neko Waifus 5,50.0,3.24,,89.71,2023-07-13 14:00:00,2023-06-29 14:23:49,2022-10-25 21:00:00,202409
Zombie Defense TD,55.0,12.73,,72.4,2023-07-13 14:00:00,2023-06-29 14:32:00,2022-12-08 21:00:00,202409
DR LIVESEY ROM AND DEATH EDITION,71.0,0.66,,91.24,2023-07-13 14:00:00,2023-06-19 14:24:40,2023-02-12 21:00:00,202409
Assassin's Creed Valhalla,75.0,49.99,,63.86,2023-07-13 14:00:00,2023-06-29 14:24:02,2022-12-05 21:00:00,202409
Tom Clancy’s The Division® 2,70.0,26.99,13.49,62.21,2023-07-13 14:00:00,2023-06-29 14:24:05,2023-01-11 21:00:00,202409
Immortals Fenyx Rising,80.0,49.98,,61.84,2023-07-13 14:00:00,2023-06-29 14:24:05,2022-12-14 21:00:00,202409
Tom Clancy's Ghost Recon® Breakpoint,80.0,35.8,,62.7,2023-07-13 14:00:00,2023-06-29 14:32:02,2023-01-22 21:00:00,202409
September 7th,66.0,4.92,,81.93,2023-07-13 14:00:00,2023-06-29 14:24:07,2023-01-05 21:00:00,202409
Riders Republic,75.0,62.47,,73.55,2023-07-13 14:00:00,2023-06-08 14:05:04,2023-06-07 21:00:00,202409
Far Cry® 6,75.0,62.49,,66.17,2023-07-13 14:00:00,2023-06-29 14:24:37,2023-05-10 21:00:00,202409
Tom Clancy’s Rainbow Six® Extraction,75.0,42.5,,63.1,2023-07-13 14:00:00,2023-06-15 14:04:33,2023-06-14 21:00:00,202409
TESTE1 of Defeat,90.0,1.08,,87.11,2023-07-13 14:00:00,2023-06-29 14:06:11,2003-04-30 21:00:00,202409
Counter-Strike,90.0,2.06,1.99,96.35,2023-07-13 14:00:00,2023-06-29 14:06:11,2000-10-31 21:00:00,202409
Team Fortress Classic,90.0,1.08,,84.18,2023-07-13 14:00:00,2023-06-29 14:06:11,1999-03-31 21:00:00,202409
Day of Defeat,90.0,1.08,,87.11,2023-07-13 14:00:00,2023-06-29 14:06:11,2003-04-30 21:00:00,202409
Deathmatch Classic,90.0,1.08,,78.97,2023-07-13 14:00:00,2023-06-29 14:06:11,2001-05-31 21:00:00,202409
