nome,desconto_percentual,preco_em_reais,menor_preco_historico,avaliacao_percentual,data_fim,data_inicio,data_lancamento,safra
Vampire: The Masquerade - Bloodlines,50.0,17.49,8.39,92.16,2023-07-13 14:00:00,2023-06-29 14:06:11,2004-11-15 21:00:00,202409
GUN™,67.0,11.54,8.74,86.6,2023-07-13 14:00:00,2023-06-29 14:06:11,2005-11-16 21:00:00,202409
Call of Duty®,50.0,17.49,13.99,91.48,2023-07-13 14:00:00,2023-06-29 14:06:11,2003-10-28 21:00:00,202409
X3: Reunion,50.0,16.49,1.69,67.84,2023-07-13 14:00:00,2023-06-29 14:06:11,2005-11-02 21:00:00,202409
X3: Terran Conflict,50.0,24.99,2.69,82.17,2023-07-13 14:00:00,2023-06-29 14:06:11,2008-10-15 21:00:00,202409
FlatOut 2™,80.0,3.39,1.69,93.52,2023-07-13 14:00:00,2023-06-29 14:06:11,2006-07-31 21:00:00,202409
Call of Juarez,80.0,5.99,4.99,78.09,2023-07-13 14:00:00,2023-06-29 14:06:11,2007-06-11 21:00:00,202409
Men of War: Red Tide,90.0,1.69,1.15,80.46,2023-07-13 14:00:00,2023-06-22 14:01:16,2009-10-31 21:00:00,202409
King's Bounty: Armored Princess,80.0,6.59,2.99,86.16,2023-07-13 14:00:00,2023-06-29 14:06:11,2009-11-18 21:00:00,202409
Painkiller Overdose,80.0,1.69,0.84,70.12,2023-07-13 14:00:00,2023-06-29 14:06:11,2007-10-29 21:00:00,202409
Chuzzle Deluxe,75.0,2.47,1.98,87.78,2023-07-13 14:00:00,2023-06-29 14:06:11,2006-08-29 21:00:00,202409
Insaniquarium Deluxe,80.0,1.98,,92.96,2023-07-13 14:00:00,2023-06-29 14:06:11,2006-08-29 21:00:00,202409
Zuma Deluxe,75.0,2.47,1.98,91.01,2023-07-13 14:00:00,2023-06-29 14:06:11,2006-08-29 21:00:00,202409
Feeding Frenzy 2 Deluxe,80.0,1.98,,92.14,2023-07-13 14:00:00,2023-06-29 14:06:11,2006-08-29 21:00:00,202409
Peggle Deluxe,75.0,2.47,1.98,93.56,2023-07-13 14:00:00,2023-06-29 14:06:11,2007-02-26 21:00:00,202409
Peggle™ Nights,75.0,2.47,1.98,91.33,2023-07-13 14:00:00,2023-06-29 14:06:11,2008-10-14 21:00:00,202409
Zuma's Revenge!,75.0,2.47,1.98,90.36,2023-07-13 14:00:00,2023-06-29 14:06:11,2009-09-14 21:00:00,202409
Sniper Elite,80.0,3.19,1.99,74.56,2023-07-13 14:00:00,2023-06-29 14:06:11,2005-10-17 21:00:00,202409
Judge Dredd: Dredd vs. Death,75.0,3.99,2.09,82.71,2023-07-13 14:00:00,2023-06-29 14:06:11,2005-02-27 21:00:00,202409
Evil Genius,75.0,4.99,4.24,90.03,2023-07-13 14:00:00,2023-06-29 14:06:11,2004-09-27 21:00:00,202409
Aliens versus Predator Classic 2000,75.0,2.62,2.11,83.86,2023-07-13 14:00:00,2023-06-29 14:06:11,2000-03-27 21:00:00,202409
Psychonauts,75.0,4.99,1.99,92.76,2023-07-13 14:00:00,2023-06-29 14:06:11,2005-04-18 21:00:00,202409
CivCity: Rome,75.0,3.74,,69.92,2023-07-13 14:00:00,2023-06-29 14:06:11,2006-07-23 21:00:00,202409
Garry's Mod,50.0,12.99,4.24,95.95,2023-07-13 14:00:00,2023-06-29 14:06:11,2006-11-28 21:00:00,202409
S.T.A.L.K.E.R.: Shadow of Chernobyl,75.0,8.74,6.99,92.6,2023-07-13 14:00:00,2023-06-29 14:06:11,2007-03-19 21:00:00,202409
Company of Heroes - Legacy Edition,75.0,9.24,4.24,90.53,2023-07-13 14:00:00,2023-06-29 14:06:11,2006-09-10 21:00:00,202409
"Warhammer® 40,000: Dawn of War® - Game of the Year Edition",75.0,6.49,3.89,92.32,2023-07-13 14:00:00,2023-06-29 14:06:11,2005-12-31 21:00:00,202409
"Warhammer® 40,000: Dawn of War® - Dark Crusade",75.0,6.49,3.89,93.44,2023-07-13 14:00:00,2023-06-29 14:06:11,2006-10-08 21:00:00,202409
Total War: MEDIEVAL II – Definitive Edition,75.0,15.74,4.99,93.8,2023-07-13 14:00:00,2023-06-29 14:06:11,2006-11-14 21:00:00,202409
Condemned: Criminal Origins,75.0,6.99,4.99,83.65,2023-07-13 14:00:00,2023-06-29 14:06:11,2006-04-10 21:00:00,202409
Medieval II: Total War™ Kingdoms,75.0,15.74,3.74,88.5,2023-07-13 14:00:00,2023-06-29 14:06:11,2007-08-27 21:00:00,202409
Heroes of Annihilated Empires,75.0,6.62,4.14,80.39,2023-07-13 14:00:00,2023-06-29 14:06:11,2006-11-21 21:00:00,202409
Cossacks: Back to War,75.0,4.24,2.12,85.02,2023-07-13 14:00:00,2023-06-29 14:06:11,2002-10-31 21:00:00,202409
Cossacks II: Battle for Europe,75.0,4.24,2.12,75.63,2023-07-13 14:00:00,2023-06-29 14:06:11,2006-06-18 21:00:00,202409
STAR WARS™ Republic Commando™,65.0,7.24,4.99,93.09,2023-07-13 14:00:00,2023-06-29 14:06:11,2005-02-28 21:00:00,202409
Indiana Jones® and the Fate of Atlantis™,65.0,4.33,2.99,89.01,2023-07-13 14:00:00,2023-06-29 14:06:11,1992-05-31 21:00:00,202409
STAR WARS™ Jedi Knight - Jedi Academy™,65.0,7.24,4.99,93.33,2023-07-13 14:00:00,2023-06-29 14:06:11,2003-09-15 21:00:00,202409
STAR WARS™ Jedi Knight II - Jedi Outcast™,65.0,7.24,4.99,87.92,2023-07-13 14:00:00,2023-06-29 14:06:11,2003-09-15 21:00:00,202409
The Dig®,65.0,4.33,2.99,86.74,2023-07-13 14:00:00,2023-06-29 14:06:11,1995-10-31 21:00:00,202409
"Star Wars: Battlefront 2 (Classic, 2005)",65.0,7.24,4.99,92.63,2023-07-13 14:00:00,2023-06-29 14:06:11,2005-10-31 21:00:00,202409
Thrillville®: Off the Rails™,65.0,7.24,4.99,86.56,2023-07-13 14:00:00,2023-06-29 14:06:11,2007-10-08 21:00:00,202409
Shank,75.0,4.99,2.99,86.41,2023-07-13 14:00:00,2023-06-15 14:01:18,2010-10-24 21:00:00,202409
Ghost Master®,80.0,2.09,0.84,85.13,2023-07-13 14:00:00,2023-06-29 14:06:11,2003-08-22 21:00:00,202409
FlatOut,80.0,2.59,1.29,89.01,2023-07-13 14:00:00,2023-06-29 14:06:11,2005-07-11 21:00:00,202409
Making History: The Calm & the Storm,80.0,2.09,1.04,75.18,2023-07-13 14:00:00,2023-06-29 14:06:11,2007-03-12 21:00:00,202409
Dreamfall: The Longest Journey,60.0,17.99,11.89,80.34,2023-07-13 14:00:00,2023-06-29 14:06:11,2006-04-16 21:00:00,202409
The Longest Journey,60.0,9.99,5.77,86.34,2023-07-13 14:00:00,2023-06-29 14:06:11,2000-11-16 21:00:00,202409
Nexus - The Jupiter Incident,90.0,1.99,,80.36,2023-07-13 14:00:00,2023-06-29 14:06:11,2004-11-04 21:00:00,202409
Lost Planet™: Extreme Condition,80.0,4.99,,77.75,2023-07-13 14:00:00,2023-06-29 14:06:11,2007-06-25 21:00:00,202409
Commandos: Behind Enemy Lines,50.0,9.5,0.69,85.95,2023-07-13 14:00:00,2023-06-29 14:06:11,1998-08-27 21:00:00,202409
Commandos: Beyond the Call of Duty,50.0,9.5,0.69,83.34,2023-07-13 14:00:00,2023-06-29 14:06:11,1999-04-06 21:00:00,202409
Commandos 2: Men of Courage,50.0,9.5,0.69,82.07,2023-07-13 14:00:00,2023-06-29 14:06:11,2002-08-29 21:00:00,202409
Commandos 3: Destination Berlin,50.0,9.5,0.69,61.65,2023-07-13 14:00:00,2023-06-29 14:06:11,2003-10-13 21:00:00,202409
Hitman 2: Silent Assassin,80.0,4.55,1.94,80.99,2023-07-13 14:00:00,2023-06-29 14:06:11,2002-09-30 21:00:00,202409
Hitman: Blood Money,80.0,4.97,2.54,91.62,2023-07-13 14:00:00,2023-06-29 14:06:11,2006-05-29 21:00:00,202409
Battlestations: Midway,86.0,1.81,,74.07,2023-07-13 14:00:00,2023-06-29 14:06:11,2007-01-29 21:00:00,202409
Just Cause,86.0,1.81,,65.27,2023-07-13 14:00:00,2023-06-29 14:06:11,2006-09-21 21:00:00,202409
Hitman: Codename 47,80.0,4.13,1.94,70.67,2023-07-13 14:00:00,2023-06-29 14:06:11,2000-11-22 21:00:00,202409
Deus Ex: Game of the Year Edition,86.0,1.81,,92.3,2023-07-13 14:00:00,2023-06-29 14:06:11,2000-06-21 21:00:00,202409
Thief: Deadly Shadows,89.0,1.86,,78.77,2023-07-13 14:00:00,2023-06-29 14:06:11,2004-06-10 21:00:00,202409
Tomb Raider: Legend,86.0,1.81,,84.99,2023-07-13 14:00:00,2023-06-29 14:06:11,2006-04-06 21:00:00,202409
Project: Snowblind,85.0,1.64,,71.86,2023-07-13 14:00:00,2023-06-29 14:06:11,2005-02-21 21:00:00,202409
Jade Empire™: Special Edition,75.0,14.75,4.99,72.19,2023-07-13 14:00:00,2023-06-29 14:06:11,2007-02-26 21:00:00,202409
Trackmania United Forever,50.0,44.99,17.99,90.16,2023-07-13 14:00:00,2023-06-29 14:06:11,2008-04-15 21:00:00,202409
"Runaway, A Road Adventure",70.0,5.37,3.58,72.32,2023-07-13 14:00:00,2023-06-29 14:06:11,2003-08-17 21:00:00,202409
X-Blades,70.0,5.99,1.99,60.76,2023-07-13 14:00:00,2023-06-29 14:06:11,2009-02-09 21:00:00,202409
Two Worlds II HD,75.0,9.24,3.69,61.21,2023-07-13 14:00:00,2023-06-29 14:24:56,2011-02-02 21:00:00,202409
Stubbs the Zombie in Rebel Without a Pulse,65.0,20.99,7.59,83.19,2023-07-13 14:00:00,2023-06-29 14:24:58,2005-11-14 21:00:00,202409
Men of War™,85.0,2.54,1.57,86.13,2023-07-13 14:00:00,2023-06-22 14:01:16,2009-05-05 21:00:00,202409
NecroVision,90.0,1.69,1.15,65.95,2023-07-13 14:00:00,2023-06-29 14:24:58,2009-05-19 21:00:00,202409
Call of Duty® 4: Modern Warfare® (2007),50.0,17.49,17.14,91.26,2023-07-13 14:00:00,2023-06-29 14:24:58,2007-11-11 21:00:00,202409
Tomb Raider: Anniversary,89.0,1.86,,80.18,2023-07-13 14:00:00,2023-06-29 14:24:58,2007-06-04 21:00:00,202409
Tomb Raider: Underworld,89.0,1.86,,74.36,2023-07-13 14:00:00,2023-06-29 14:24:58,2008-11-20 21:00:00,202409
Just Cause 2,90.0,2.69,,89.28,2023-07-13 14:00:00,2023-06-29 14:24:58,2010-03-22 21:00:00,202409
Geometry Wars: Retro Evolved,50.0,3.49,3.42,84.96,2023-07-13 14:00:00,2023-06-29 14:24:58,2007-03-06 21:00:00,202409
RACE 07,75.0,2.09,1.67,81.61,2023-07-13 14:00:00,2023-06-29 14:24:58,2007-10-14 21:00:00,202409
BioShock Infinite,75.0,22.49,20.99,92.62,2023-07-13 14:00:00,2023-06-29 14:24:58,2013-03-24 21:00:00,202409
Borderlands Game of the Year,67.0,23.09,7.49,88.81,2023-07-13 14:00:00,2023-06-29 14:35:06,1969-12-31 21:00:00,202409
Return to Castle Wolfenstein,60.0,7.19,4.49,90.2,2023-07-13 14:00:00,2023-06-29 14:24:58,2001-11-19 21:00:00,202409
Commander Keen,60.0,3.59,1.62,88.55,2023-07-13 14:00:00,2023-06-29 14:24:58,1990-12-13 21:00:00,202409
RAGE,60.0,11.99,7.49,75.78,2023-07-13 14:00:00,2023-06-29 14:24:58,2011-10-02 21:00:00,202409
"Warhammer® 40,000: Dawn of War® – Winter Assault",75.0,6.49,3.89,85.12,2023-07-13 14:00:00,2023-06-29 14:24:58,2005-12-31 21:00:00,202409
Company of Heroes: Opposing Fronts,75.0,9.24,7.39,86.56,2023-07-13 14:00:00,2023-06-29 14:24:58,2007-09-26 21:00:00,202409
